ID,Saxon,German,Webpage,Date,Source,Origin,Year,Tags,length
0,"Es lieschd zwischn Gnaudnaundorf, Großschgorlobb un Giddsn. Giddsn war bis 2011 ooch ne eignschdändsche Gemeinde, wo Gleenschgorlobb mid dazu geherde. Es Dorf had mid Schdand 2011 164 Einwohnor. De Gleenschkorlobbor Feierwehr in dor Ordsmidde.",,https://web.archive.org/web/20230322074523/https://incubator.wikimedia.org/wiki/Wp/sxu/Gleenschgorlobb,2026-05-23,,,2022,Wikipedia,243
1,"Willkomm' bei dor obersäggsschn Wiggibädscha, dem frein Leggsigon, wo jedor mitmachng gann. Unser Brojeggd is schon ä bissl äldor, aggduell ham'mer abor erscht 19 Seidn. Also, wenn du Säggsisch schbrischsd, bidde schreiwe odor beorbeide Ardiggl. Ooch wenn de irschendwie andorweidisch beidraachen dusd, z.B. midde Bilder oder Interwiki, bisde jedorzeid herzlisch willkomm'. Weesde schonn dass es in Leibzsch de meisdn Bassaaschn in Euroba gibd? Insgesamd gib's in Leibzsch 28 Bassaaschn und somid is es es greesde Bassaaschnsysdem Eurobas. Das Wiki-Briederlischgeidsbroscheggd für Goordinadsion, gegenseidssches Indresse und Freundschafd dor dleen' un' größren Reschjonalsprochn un' -dialeggde in Euroba.",,https://web.archive.org/web/20240808042125/https://incubator.wikimedia.org/wiki/Wp/sxu/Main_Page,2026-05-23,,,2024,Wikipedia,704
2,"Dor Leibzscher Ordsdeil Knautnaundorf (uff oborsäggssch Gnaudnaundorf von d'n Einheimischn ooch manschemal Gadorf genannd) is dor siedlischsde Ordsdeil von Leibzsch. Gnaudnaundorf lieschd unmiddlbar an dor Audobaahn 38, so dass'es sehr vorgehrsgünsdisch geleeschn is. ""Vorgehrsgünsdsch"" heeßt dann ouch, daß dord immer Grach is, von de ElGaWeh´s und de Audos. In der Ciddy von Gnaudnaundorf sind durch de A 38 und de B 186 im Durchschnidd immer 55 bis 60 Dezibel(A). Wenn de dorch'n Ord gehsd, hasde also immer Audo- und Lasdersound in Underhaldungslaudschdärge, 24 Schdunden am Daach. Ouch de Fliescher vom Fluchhafen Schgeudids hörsde deudlich. Dorsch n Ord fließd dor Greebsgraam', welscher abor nisch immer Wassor führd. Dor Greebsgraam' gehd dann zur Weißn Elsdor, die Gnautnaundorf schneided. Dor Rundkapellenweg im aldn Ordsgern. Historsches. Seid 1999 is Gadorf ä Schdadddeil von Leibzsch. Gnaudnaundorf off 'nor Gorrde von 1906. Vorgehr. Gnaudnaundorf is sowohl midn Öffendlischn als ooch midn Audo gudd von Leibzsch aus zu orreischn. An d'n Ord vorbei führd de Bundesschdraaße 186, welsche mit dor Audobaahn 38, die nördlisch an Gnaudnandorf vorbei gehd, de Uffaahrd Leipzig-Südwest bilded. Seiddem dor Bahn-Haldebungd Leipzig-Knautnaundorf 2011 uffgegeh'm wurde, is dor Ord blooß no middn Bus orreischbar. De Linie 120, dor Regionalbus Leipzig GmbH, fährt Wochndaachs schdündlisch un am Wochnende zweeschdündlisch zwischn Gnaudhain un Zwenke. 's gibd in Gnaudnaundorf drei Haldeschdelln. Se laudn in schdadauswärdscher Rischdung: Gefrierzentrum, Knautnaundorf, Rundkapellenweg un Knautnaundorf, Werkstraße. Sonsdiges. In Gnaudnaundorf schdehd s' älldsde orhaldne görschlische Gebäude Saggsns, un dswar de Andreasgabelle. Außordem befinded sisch hier ooch'es höschsde Bauwerg Leibzsch', de sogenannde Esse, 's is de Esse vom Stahl- und Hartgusswerk Bösdorf, welsches in Gnaudnaundorf ansässch is. Anmärschung'.",,https://web.archive.org/web/20230531174415/https://incubator.wikimedia.org/wiki/Wp/sxu/Gnaudnaundorf,2026-05-23,,,2022,Wikipedia,1920
3,"Leibzsch (off Hochdeitsch ooch Leipzig) is mid 593.145 Leiden de greesde Schdadd in Saggsn. Leibzsch liechd in dorr Leibzsch'r Dieflandsbuchd. Bolledigg. Dor Leibzscher Owerbörschormeesder is dor Burghard Jung. Bligg off'm Deil dorr Alschdadd (Marchd, Grimma'sche Schdraße). Wirdschaffd. Vorgehr. Leibzsch liecht im Middeldeitschn Audobaahndreiegg, also zwischn dorr Audobaahn 9, dorr Audobaahn 14 un dorr Audobaahn 38. In dorr Schdadd is dorr Leibzscher Haubdbaahnhof, wo mor mid'm Zieche nach Bährlin, Minschn, Frangfurd und in alle Weld gommd. Undor dorr Inneschdadd is dorr Siddidunnl, wo de Esbaahn durchfährd. Leibzsch ha a großes Schdrahsenbaahnnedds. Ooch Radfahrn gann mor in Leibzsch. Rundfungg. In Leibzsch siddsd dor Middeldeitsche Rundfungg, die machn Färnsähn un Rascho. Sähnswärrdchgeedn. In Leibzsch gibts ä bahr Orde zum guggn. Blechbiggse. De Blechbiggse (oder Bämmbiggse) is ä Gaufhaus in dorr Leipzscher Inneschdadd. Friehor hieß se ma Gaufhaus Horten/Gaufhof. Im Jahr 1968 hat mor een ""konsument""-Warenhaus draus gemachd und ne Aluminium-Vorgleedung dadorrfor gehangn. Dadorraus is dor Name gewordn. Lene-Voigt-Bahrg. Das wor firhor ma een Bahnhof in Reidnids wo mor de Gleese weggemocht had und Beeme geflansd. Dorr Bahrg is nach Lene Voigt benannd, die ne wischtsche säggsche Mundarddichdorrin war. Leipzscher Lerchn. Ä Gebägg mid Mardsibahn, das gann mor nich bloß anguggn sondern das is auch ziemlisch leggor.",,https://web.archive.org/web/20230531013355/https://incubator.wikimedia.org/wiki/Wp/sxu/Leibzsch,2026-05-23,,,2022,Wikipedia,1434
4,De Leibzsch'r Dieflandsbuchd is eene Region im Nordosden von Saggsn.,,https://web.archive.org/web/20230327042739/https://incubator.wikimedia.org/wiki/Wp/sxu/Leibzsch%27r_Dieflandsbuchd,2026-05-23,,,2022,Wikipedia,68
5,"Saggsn, offizschell dr Freischdaad Saggsn, is e Bundesland in Deitschland. De Haubdschdad is Dräsdn. De Oborfläche von Saggsn bedrächd 18.450 km², un am 31. Dezember 2016 hadde das Land 4 081 783 Eiwohnr. Saggsn mid Nachbrländrn un Landschafdn. Geografie. Saggsn is dr ösdlichsde Deil von Middldeitschland un gränzd im Nordn an Brandnburch, im Osdn an Bohln, im Sieden an de Tschechsche Rebbubligg un an Baiern, im Wesdn an Dieringn un im Nordwesdn an Saggsn-Anhald. Dobografsch gann mr Saggsn in Flachland, Hieschelland un Middlgebärsche eindeiln. Zunn Flachland gehehrn de Leibzscher Dieflandsbuchd un de närdliche Owerlausitz. 's Middlsäggs'sche Hieschelland liechd zwischn Meißn, Oschatz un Frohburg an dr dieringschn Gränze. De Middlgeberche umfassn dn greeßdn Deil vom Vochdland, de närdlichn Deile vom Erzgeberche mid sein Vorland und vom Elbsandschdeengeberche (ooch Säggs'sche Schweiz genannd) un de siedliche Owerlausitz mit'n Lausitzer Berchland un dn Zittauer Geberche. Dr greeßde un eenzsche schiffbare Fluss is de Elbe. Andre wichdche Flisse sin de Freiberchr un de Zwiggauer Mulde, die s'ch bei Grimme verein'chen, de Weiße Elsdr un de Spree. De greesdn Schdedde sin Dräsdn, Leibzsch un Chemds. Geschichde. Dr Name ""Saggsn"" is dorch mehrere dynast'sche Verschiebung' off's Gebied des heitch'n Bundeslands gekomm'. Urspringlich war drmit 's Land dr Saxones im heitch'n Niedrsaggsn in Norddeitschland gemeent. 's Gebiet vom heitchn Land Saggsn war schon in dr Jungsteenzeid besiedld, un zwar kam' de Siedlr aus'n jetzch'n Behm' un ließn sich vor alln in d'n Flussauen niedr. Im 6. Jahrhunderd war 's Gebied under 'n Eifluss dr Dieringr. Der'n Geenichreich ging im Reich dr Frank'n off. Von 7. bis zn 10. Jahrhundert sied'lt'n Slawen off'n später'n Territorium von Saggs'n, was mr noch an vieln Orts- un Flussnam' erkennt. 929 wurde in Meißn ene deitsche Burch gebaud un drmit de Marggrafschafd Meißn gegrindt. Das war dr Vorlaifr von'n heitch'n Land Saggsn. 1089 wurdn de Wettiner, die schon Marggrafn in Diering warn, ooch Marggrafn von Saggsn. Im 15. Jahrhundert erweiderd'n se ihr Gebiet um's Herzochtum Saggsn-Wittnberch un wurd'n Kurferschdn. Seid der Zeid wurde ihr ganzes Herrschaftsgebied Saggsn genannd. 1485 entstandn aus 'n Wettiner Landen in dr' Leibzschr Deelung 's albertinsche Herzochtum un 's ernestinsche Kurferschdntum. Nach dr Reformazschon, die in beedn Teil'n eigefiert wurde, un dn Schmalkaldischn Kriech ging'n Deele dr ernestinschn Länder un de Kurwerde an de Albertinr. Durch verschiedne Erbteilung'n entstandn off ernestinschn Gebied mehrere kleenere Herzochtiemr. Um Geenich von Bohln wern ze kenn, nahm der Kurferschd Friedrich August I. 1697 wieder d'n katholschn Glaubn an. Saggsn blieb awr lutherisch. De Personalunion zwischn Saggsn un Bohln endete 1763 mit'n Tod von August III. Im Siemjährchn Kriech wurde Saggsn von braißschn Truppn besetzt. Spätr bekämpftn säggssche un braißsche Truppn gemeensam de Franzeessche Revolution. Als se awr 1806 bei Jena un Auerstedt geschlachn wurdn, trat Saggsn dn Rheinbund bei un wurde Geenichreich. Weil dr säggssche Geenich bis zr Völkerschlacht off dr Seide Napoleons stand, musste de Nordhälfte von Saggsn 1815 an Braißn abgetretn werdn. Nach dr Novemberrevolution 1918 wurde Saggsn e Freistaat. 1952 wurd'r offgeleest un de Bezirke Dräsdn, Leibzsch un Chemds (Karl-Marx-Stadt) geschaffn. 1990 wurde 's Land Saggsn wiedergegrindt un um de ehemalchn Landkreise Hoyerschwerde un Weisswasser erweidert.",,https://web.archive.org/web/20230610072202/https://incubator.wikimedia.org/wiki/Wp/sxu/Saggsn,2026-05-23,,,2022,Wikipedia,3485
6,"Säggssch, genauer gesachd Obersäggssch oder Owersäggssch, is ene Gruppe von ostmittldeitschn Mundardn, die vor alln in Saggsn, dn siedesdlichn Saggsn-Anhald un dn nordesdlichn Diering als Rechiolegd gesproch'n wern. Sprachwissnschafdlr undrscheidn de osdrländschn Mundardn in'n Wesdn un de meißnischn Mundardn in'n Osdn vom Sprachgebied. Mergmale. De offfallndsdn Undrschiede zen Hochdeitschn sin de endrundedn Vokale, so wern /ö/ und /ö?/ sowie /ü/, /ü?/ un /üe/ ze /e/, /e?/ sowie /i/ und /i?/, un de geschwechdn Gonsonandn. Wo m'r hochdeitsch K, P un T schreibd, wern G, B un D gesprochn. Zwielaude wern ofde ze eenfachn langn Vokaln, zn Beispiel ei ze ee un au ofde ze oo, aus eu werd ei. Vor alln in Middlsaggsn werd ausn hochdeitsch'n a e dunklr Laud zwischn a un o. Dr Infinitiv vom Verb ended off -en, nich wie in dn Dieringr Dialegdn off -e. 's unbedonde e werd ofde fast weggelassn. 's 'g' werd meisdns ooch wie g gesprochn, nich wie im Hallschn wie 'j'. Wordschatz. Dr owersäggssche Wordschatz is in'n Wörterbuch der obersächsischen Mundarten dr Säggssc'n Agademie dr Wissnschafdn (erschien' in vier Bänd'n 1995 - 2003) un in'n Wörterbuch der obersächsischen und erzgebirgischen Mundarten in zwee Bändn (1911 - 1914) gesammld worn. Schrifdliches. 's gibd wenich off Owersäggssch geschriemne Biechr un ooch - wechn dr rechionaln Undrschiede in dr Aussprache - geene einheidliche Schreiwung. Abgesehn von Iewerdrachung' von Undrhaldungslideradur un Sammlung' von Witzn un gurzn Geschichdn sin vor all'n de Umdichdung' glass'schr Gedichde Säk'sche Balladen un Säk'sche Glassigger von Lene Voigt begannd. Landgarde dr Verbreidung dr middldeitschn Mundardn.",,https://web.archive.org/web/20230602021043/https://incubator.wikimedia.org/wiki/Wp/sxu/S%C3%A4ggssch,2026-05-23,,,2022,Wikipedia,1663
7,"De ""Wahre Scheseskirche"" is ne schinees'sche kristlische Kirchngemeende, die hammse 1917 in Peking gegrindet. Nu zähl'n se zu den indischenen, das sind die einheimschen Denominazionen der Folgsreebubligg Schina. Se war'n doch ooch eene von drei einheim'schen schineesschen Hauskirchn, die ooch vor der Ibernaame der Gommunisden 1949 eksistürt hamm. Se woll'n 's erreischen, dass s' Evangchelium allen Leuden noch vor der Rigg-gehr von unserm Scheses gebreedschd wird. Dafier hammse nu 10 grundlechende Glaubens-Daadsarren für die Wahre Schesus-Gierche gefunden. 1. Dor heilsche Geisd. 2. De Wasserdoofe. 3. De Beene waschen. 4. De heilsche Gommunion. 5. Enn Sabadd-da(r)ch. 6. Unsern Scheeses-krisdus. 7. De Bibl. 8. De Erl'ö'sung. 9. De Girsche. 10. Und 's Wiedergommmen. Wahre Scheseskirche.",,https://web.archive.org/web/20240106075248/https://incubator.wikimedia.org/wiki/Wp/sxu/Wahre_Scheseskirche,2026-05-23,,,2017,Wikipedia,793
8,"Der Ardiggl hier behandld de freie Netz-Enzäglobbedie Wikipedia. Förr de säggsschsprachsche Ausgabe gugge ma bei Säggsschsprachsche Figgibeedscha. Firrn gleischnamschn Astäroidn mussde hier neiillern: (274301) Wikipedia., soweid glor? D's Wiggibedia-Symbol. Wikipedia odor eingesächseld Wiggibedia, Figgibedia, Figgibedja oder noche mähr vorballhornd (off gude Ard) Figgibeedscha isn am fuffzehndn Schanuar zweetausndeens (15.01.2001) gegründedes gemeennüdssches Broscheggd zor Erstellung een'r Enzäglobbedie in 'nem Haufn Sprochn mid Hülfe des Wikibrinzibs. Gemäß Bubliggumsnachfrache un' Vorbreidung jehört Figgibedia inzwischn zudn Massenmeedschen. De Indorned-Enzäglobbedie bieded freie, also gostenlose un' zor Weidorvorbreidung gedachde, undor leggsigalischn Eindrägn (Lemmata) zu findnde Ardiggl sowie ooch Bordale nach Dhemengebiedn. Das Ziel is gemäß 'm Gründor Jimmy Wales, „'ne frei lizenzierde un' hochwerdsche Enzäglobbedie zu schaffn un' damid leggsigalsches Wissen zu vorbreidn“. De großen Figgibeedschen, zen Beischbiel de englische odor de (hoch-)deitsche, zähln zu de umfangreichsde Leggsiga dor Weld. De Finanzierung erfolgd dorsch Schbendn.",,https://web.archive.org/web/20210918085214/https://incubator.wikimedia.org/wiki/Wp/sxu/Wikipedia,2026-05-23,,,2021,Wikipedia,1160
9,"Bei dann sei mr'sch gewuhnt. Dr Michel-Arnst-Bauer war mei-Tog ä Pachhengst. Fieng 'r wos a', wu werklich ä jeder dacht't s' müsst gih' - patsch!! ..machet 'r wos Dumms drquaar, un r' war wieder off 'n alten Flack un hot's zu Nischt gebracht. Do war' ne ganz u'vermut' ä paar Hunnert Toler vun eener Aarbschaft zugefall'n - zwee Tog' drauf rührt 'n dr Schlog. - Dr Horn-Bauer ladt Stange bei sich o', un dr alte Braatschneider kimmt drzu un drzöhlt s' n'. Do sprachen se un äsu vun Michel-Arnst-Bauer. ""Nää, suwos!"" sogt dr Horn-Bauer un schüttelt mit senn graa'n Kopp, ""itze, wu s' nu su weit war, wu 'r ä bissel raus kumme kunnt' - do starbt'r'!"". ""Nu"", meenet dr Braatschneider drauf, ""bei dann sei mr 'sch gewuhnt. Müsst daar 'sch net schu mannigmol su gemacht hoom!"".",,https://www.sachsen-lese.de/streifzuege/mundartliches/bei-dann-sei-mrsch-gewuhnt/,2026-05-29,Anekdoten und Gedichte - Annaberg 1904,Erzgebirge,1921,poetry,772
