Sächsisch,Deutsch
Aardippln,Kartoffeln
Abbl,Apfel
Abbrigouse,Aprikose
Abernmauke,Kartoffelbrei (in Oberlausitz)
Abfedd´n,Geld abknöpfen
abmorgs´n,umbringen
Aborn,Kartoffeln/Erdäpfel
affen,sich zieren; vornehm tun
Aggor,Acker/Feld
anflau´m,beschimpfen/motzen
anhibschen,vornehm anziehen; sich schön machen
anscheuseln,sich verkleiden; ankleiden
"Arborn, Arbern",Kartoffeln
Arbornmauge,"wortwörtlich eigentlich Erdbirnenmauke, besser bekannt als Kartoffelbrei (erzgebirgisch)"
ard´sch,artig
Asch,größeres (wannenartiges) Gefäß; Schüssel
assd´n,schwer tragen
ausbaldowern,auskundschaften
ausbaldowern,auskundschaften; herausbekommen
ausgenuddld,ausgeleiert
ausgenuddld,ausgeleiert
aushäggn,was (ein Streich) ausdenken
aushäggn,was Dummes ausdenken
auskäsen; ausmären,sich beeilen; endlich fertig werden
babbeln; Gebabbel,plaudern; sich oberflächlich unterhalten
Babborschmatz,"Brei, Mus, labberige Masse"
babbsch,weich
babsch; babsches,weich; weiches
badalschen,etwas Schweres von A nach B tragen
baddl´n,schwimmen/Boot fahren
Baddorieh,Batterie
baff´n,rauchen
Baggasche,Pack; Gesindel
Baggasche,"Pack, Gesindel"
Balsch,Kind
"balschen, sich","miteinander kämpfen, prügeln oder auch (sächsisch) kampeln"
Bammbs,Brei/Mus/Babbe
bammln,hängen
barbs´sch,barfuß
barmen; bärmeln,klagen; jammern
bebbeln,Fußball spielen
bebbln,Fußball spielen
bedeppert,betroffen; verduzt; überrascht
beduddeld,betrunken; angetrunken
beebln,herumfummeln
Beedorsielsche,Petersielie
Bemme,"Brotscheibe (siehe auch ""Gnifde""), Stulle, Butterbrot"
Bemme; Bämme,(bestrichene) Brotscheibe
berzen,"wie es Kinder oft tun, auf dem Kopf den Füßen stehen, oder Köper auf dem Stuhl oder Sofa legen und Kopf nach unter hängen lassen"
besämml´d,dumm
Beud´l,Beutel
bibbor´n; bibborn,zittern (vor Angst oder Kälte)
"Bibbus, der",Ein Bibbus kann eigentlich alles sein. :D Aber im Sprachgebrauch wird damit meist ein kleiner Hebel oder Stutzen beschrieben.
bichln,einen trinken; einen heben
biddschenass,nass bis auf die Haut
Biebmadds,Vogel
Biebselei,filigrane Arbeit ausführen
Bieb´m,Geld
Bieschor,Bücher
Biggse,Büchse
bigg´n,Bücken
Binunnsen,Geld
Bladd´nschbielor,Plattenspieler
blaudz´n,eine Tür zuschlagen
bleede,blöd/dumm
"Bleeschplan, dor","Rasen, Wiese; (Bleichplatz)"
Bleior,Bleistift
Blembe; Blämbe,billiges Getränk; dünner Kaffee; dünne Suppe; geschmacklose oder nicht schmeckende Flüssigkeit
Bliemchenkaffee,dünner Kaffee; Malz-; Ersatzkaffee
bliemorand,"blümerant, unwohl, flau, übel (""Mir isses ganz bliemorand."")"
Bliemschen,Kaffee mit viel Milch
Blinnsn; Blins´n; Plinse(n),Eierkuchen (flacher dünner Kuchen in Pfanne gebraten); Tollpatsch
Bluhmschreiss´l,Blumenstrauß
Bläddbredd,Bügelbrett
Bläddlog,Bügeleisen
bläg´n; blähgn,schreien
Boddn,"Schuhe (eauch gerne als ""dräggsche Boddn"")"
Bodd´n; Boddn,Schuhe; große Schuhe
Bohm,Baum
Bohrsch´n,borgen
bomforzschonös,"luxeriös, üppig, ausufernd"
Bongs´l,Bonbon
Boobeldurm,Nase
boofen,Übernachten im Schlafsack in kleinen Höhlen oder unter Felsvorsprüngen
Breedsch´n,Brötchen/Semmel
Broilor,Brathähnchen
bulgsen,schwer arbeiten
butzsch,"etwas ist nicht in Ordnung (""Hier miefts abor butzsch!.) oder es geht jmd. nicht gut (""Mir is off ehma ganz butzsch zemude!"")"
Bäbe,"Rührkuchen, Aschkuchen, Napfkuchen, Guglhupf"
Bäbe; Bääbe,Aschkuchen (eine Art Sandkuchen bzw. Napfkuchen)
Bäffschdegg,Frikadelle/Bulette
bälz´sch,pelzig
Bärigge,Perücke
"bääbln, biebln","siehe ""miemeln"" aber nicht regional eingeschränkt"
dabbsch,unbeholfen/tolpatschig
daddrisch,zittern
Daheeme; darheeme,Zuhause
dambern,planlos rumlaufen
danneln,untereinander tauschen
"(rum)darwiern, rumdärwiern","nerven, nörgeln, quängeln"
Daschendüscher,"- nein, kein Taschentieger, sondern Taschentücher"
dazema,damals
"deebsen, rumdeebsn","tollen, herumtollen, toben (Kinder)"
deehs´n,döhsen
Deif´l,Teufel
deigsl´n,etwas meistern
Deppn,Fussballschuhe
"Deschdlmeschdl, das","Affäre, Liebschaft, Verhältnis"
desdorwesch´n,deswegen/darum/deshalb
diddsch´n; didschn,eintunken; etwas eintauchen (z.B. in Heißgetränke oder Suppe)
didschern,"mit Didschern (Murmeln) spielen, z.B. auf einer Didscherbahn"
Diede,Tüte
Dieschl,Tiegel; Bratpfanne
Dieschor,Tiger
diggschn,schmollen; sich trotzig verhalten
ditschern,"Ditscher = Murmel, also mit Murmeln spielen"
Dohrm,Turm
"Draasch, seinen ""Draasch"" haben","aufgeregt sein, sich Sorgen machen"
"draaschn, es draaschd","es regnet sehr stark, vergleichbar zu ""Es gießt wie aus Eimern."""
Dreesch,starker (kurzer) Regen
dreeschen,regnen
Drohmbuch!,Person die geschlafen oder nicht aufgepasst hat und Fehler macht
Drähdr,Schuhe
Dräsd´n,Dresden
dröbbl´n,tropfen (Regen/Wasser)
duffeln,"dumm ansprechen, dumm anmachen"
dusseln; dussln,ausruhen; vor sich hin träumen
Duss´l; Dussel,Dummkopf/Trottel (nett gemeint); Glück/Glückspilz
D´schuldschung; Schulldchnsä,Entschuldigung
dä Wännsdorr,die Kinder
däbbern,"dumm, nicht gerade clever"
Dämel; Dämlak,Dummkopf; Trottel
"Dämmse, de","unangenehme Hitze, feuchte Wärme, Schwühle"
Dämmse; Dämse; Dähmse,Hitze/Schwüle/stickige Luft; Gewitterschwüle; drückende Hitze
därrwänzsch,"beschreibt etwas Dürres, etwas Schwaches"
Däähds,Kopf
düschd´sch,tüchtig/fleissig
dütschen,etwas in eine Flüssigkeit eintunken oder auch einen Badegast unter Wasser drücken
eechs´nsinnsch,eigensinnig
eene roochen,eine rauchen
eenzsch,einzigartig
eenz´sch,einzig (eenz´schor = einziger)
Ehns hindor de Gummtleisdn griechn,"Eine hinter die Ohren bekommen. Kummetleisten sind Geräte die von Zugtieren (Pferd, Ochse) seitlich um den Hals liegen."
Ehmor,Eimer
Eiferbibbsch,Unglaublich! Sieh einmal an!
eindies´ln,mit Parfüm/Deodorant einsprühen
eingoof´n; eingoofen,einkaufen
(nu) ei verbibbsch,na so etwas
escha,nicht doch (Verneinung)
Essenkehrer,Schornsteinfeger
fagg´n,etwas wegwerfen/werfen
Falle,Bett
Feddz´n; Fäddzn,Putzlappen; hässliche/alte/schmuddlige Kleidung
feix´n,lachen
Feng,Pfennig
ferdsch,fertig
fitscheln,lange und nutzlos hin- und herbewegen (z.B. mit einer Säge)
Flatschen,ausgedehnter; großer Fleck
Flebbe; Fleppe,trotzig; weinerlich verzogener Mund
Flebb´m; Flebben,Führerschein/Fahrerlaubnis
Fleeschor,Fleischer (Metzger)
Fliesche,Fliege
Flieschor,Flugzeug
Floddr Oddoh,Durchfall
fluddsch´n,gut laufend
Flunsch,trotzig; weinerlich verzogener Mund
forblämborn,verschwenden/vergeuden
forgaggeiorn,veralbern; jem. zum Narren halten
forhohnebiebl´n,spotten
freilisch,zustimmen/natürlich (als Bestätigung)
Frosthucke; Frostmemme,jemand der leicht friert
fuchtig,wütend; zornig
fuddsch,verloren/weg
Fumm´l,Kleidung
Funnsl; Funs´l,geringes Licht/Lampe; spärliche Beleuchtung; (Taschen-) Lampe
Gaatschen; Gaatschn,Geschwätz; Rederei; auch breites; gedehntes Sprechen
gadsch´n,schmatzen
Gaggau,Kakao
Gagsch; Gaksch,Spaß; Jux; Witz; Ausgelassenheit
Gebärsche,Gebirge
Gelumbe; Gelummbe,Dinge ohne Wert; Sachen; Gepäck
Gemmnidz,Chemnitz
gieksen,jemandem mit einem spitzen Gegenstand stechen
giggorn,kichern
Gindr,Kinder (oder Günther)
glei,gleich
Glidsche,kleiner Ort
Glimmschdäng´l,Klimmstängel/Zigarette
gloddsn,schauen; auch guggen
glohm,glauben
Glubbschoochn,(große) Augen
Glubschn,Augen
Glungor,Klunker/Schmuck
gläggorn,kleckern
gnadsch´n,jammern
gnaubl´n,an Fingernägel kauen
gniedsch´n,etwas zusammendrücken
gorni,garnicht
Griebl,gemeiner Mensch
Griebsch,Überrest eines gegessenen Apfels; Kerngehäuse vom Apfel
(Die) Grigge,Lästernde Person
Guch´n,Kuchen
gugg´n; guggen,schauen; blicken
Gunks; gunksen,Stoß; stoßen
Gusche,Mund
gäkig,blass; bleich; kränklich aussehend
Gärsche,Kirche
Gäsehitsche,Schlitten; mickriges Auto
habsch,habe ich
habschni,habe ich nicht
Hader,Scheuerlappen
hammor,haben wir
hammorni,haben wir nicht
hees,heiß
hiefrig,schwächlich; unterentwickelt
Himmelsmiezchen; Modschekiebchen; Modschegiebchen (Mutschegiebchen),Marienkäfer
Hitsche; Hütsche,Fußbank
Hornstsche,alte Bude; kleine Wohnung
hubb´m,hüpfen/springen
Huddelei,Probleme
huschl´n,kuscheln
iez´sch; iezig,zornig/böse; zornig; wütend
illern,heimlich; verstohlen gucken
kiefig,unfreundlich; böse; gereizt
Klansch,schmierige; feuchte; weiche Masse
knatschen,ständig jammern; wehleidig sein
Kriepel,Bezeichnung oder Schimpfwort für Personen; Tiere; Dinge
krutschen,sich zanken
kutteln,schnell und hastig trinken
Käseklitscher,Quarkkeulchen
Laatschen,Hausschuhe; Pantoffeln
labb´sch,schlaff; schwach
Ladsch´n,Schuhe/Laufen
lawede; laweete,wacklig/instabil; instabil; wackelig
Leibz´sch,Leipzig
Lohd´n,Haare
